? (169.254.12.197) at 10:4a:7d:93:f5:ad on en1 [ethernet]
? (169.254.21.91) at 38:ba:f8:b:91:b3 on en1 [ethernet]
? (169.254.27.122) at c0:e4:34:2d:91:e3 on en1 [ethernet]
? (169.254.65.117) at 20:10:7a:3:73:13 on en1 [ethernet]
? (169.254.80.204) at 66:39:b4:db:8b:3 on en1 [ethernet]
? (169.254.93.52) at 52:a:6f:77:ff:dc on en1 [ethernet]
? (169.254.96.108) at 7c:76:35:b0:27:8c on en1 [ethernet]
? (169.254.110.189) at 24:77:3:2d:b:f8 on en1 [ethernet]
? (169.254.134.152) at 80:56:f2:a6:d9:2f on en1 [ethernet]
? (169.254.156.145) at a0:88:b4:35:50:e4 on en1 [ethernet]
? (169.254.158.91) at 5c:e0:c5:a0:9f:5b on en1 [ethernet]
? (169.254.175.122) at 0:27:10:c6:d6:4c on en1 [ethernet]
? (169.254.203.217) at f4:8c:50:be:8f:2f on en1 [ethernet]
? (169.254.215.186) at 0:24:d7:4c:51:14 on en1 [ethernet]
? (169.254.223.88) at 14:ab:c5:fb:5f:c7 on en1 [ethernet]
? (169.254.232.113) at 50:3e:aa:7e:79:ad on en1 [ethernet]
? (192.168.72.4) at 0:1c:7f:6e:d2:c6 on en1 ifscope [ethernet]
? (192.168.72.5) at d0:c6:5b:50:97:e1 on en1 ifscope [ethernet]
? (192.168.72.6) at a4:0:e2:b8:67:41 on en1 ifscope [ethernet]
? (192.168.72.9) at dc:ef:80:aa:95:b1 on en1 ifscope [ethernet]
? (192.168.72.12) at dc:ef:80:aa:96:71 on en1 ifscope [ethernet]
? (192.168.72.66) at e6:78:eb:b9:e5:be on en1 ifscope [ethernet]
? (192.168.72.71) at a0:cc:2b:82:bc:d8 on en1 ifscope [ethernet]
? (192.168.72.131) at 80:0:b:9f:eb:83 on en1 ifscope [ethernet]
? (192.168.73.18) at ce:d9:17:b6:35:9d on en1 ifscope [ethernet]
? (192.168.73.26) at b0:6f:e0:5b:cd:10 on en1 ifscope [ethernet]
? (192.168.73.29) at 34:f3:9a:31:9c:cd on en1 ifscope [ethernet]
? (192.168.73.40) at 52:b1:20:9a:b6:c0 on en1 ifscope [ethernet]
? (192.168.73.45) at f0:43:47:3:c2:f0 on en1 ifscope [ethernet]
? (192.168.73.77) at da:14:5e:9a:d0:74 on en1 ifscope [ethernet]
? (192.168.73.102) at 38:ba:f8:b:91:b3 on en1 ifscope [ethernet]
? (192.168.73.126) at 4c:eb:42:f4:2b:e4 on en1 ifscope [ethernet]
? (192.168.73.255) at 0:27:10:c6:d6:4c on en1 ifscope [ethernet]
? (192.168.74.142) at 50:3e:aa:7e:79:ad on en1 ifscope [ethernet]
? (192.168.74.174) at 0:26:5c:aa:75:a0 on en1 ifscope [ethernet]
? (192.168.74.237) at 34:2:86:8a:9d:96 on en1 ifscope [ethernet]
? (192.168.74.243) at c4:d9:87:24:83:8 on en1 ifscope [ethernet]
? (192.168.74.246) at 4:d3:b0:e6:9d:30 on en1 ifscope [ethernet]
? (192.168.74.248) at 20:10:7a:3:73:13 on en1 ifscope [ethernet]
? (192.168.75.21) at cc:b8:a8:e1:15:14 on en1 ifscope [ethernet]
? (192.168.75.29) at 6e:d5:c6:d5:23:10 on en1 ifscope [ethernet]
? (192.168.75.35) at a4:db:30:18:b6:f7 on en1 ifscope [ethernet]
? (192.168.75.86) at a0:88:b4:35:50:e4 on en1 ifscope [ethernet]
? (192.168.75.115) at ba:b7:71:e0:a0:dd on en1 ifscope [ethernet]
? (192.168.75.147) at 5c:c5:d4:ce:78:a9 on en1 ifscope [ethernet]
? (192.168.75.197) at 24:77:3:2d:b:f8 on en1 ifscope [ethernet]
? (192.168.75.231) at 66:a0:68:a2:e:2c on en1 ifscope [ethernet]
? (192.168.75.239) at e8:2a:44:46:98:48 on en1 ifscope [ethernet]
? (192.168.75.251) at 0:28:f8:f9:cd:56 on en1 ifscope [ethernet]
? (192.168.76.111) at 48:51:b7:40:9:2 on en1 ifscope [ethernet]
? (192.168.76.228) at a4:2:b9:1b:7f:1f on en1 ifscope [ethernet]
? (192.168.77.23) at 18:47:3d:ec:a5:61 on en1 ifscope [ethernet]
? (192.168.77.64) at cc:2f:71:b6:d7:ad on en1 ifscope [ethernet]
? (192.168.78.33) at 28:3a:4d:17:cd:5 on en1 ifscope [ethernet]
? (192.168.78.83) at 38:de:ad:7a:a3:aa on en1 ifscope [ethernet]
? (192.168.78.98) at 14:ab:c5:2d:23:d7 on en1 ifscope [ethernet]
? (192.168.78.118) at 14:ab:c5:fb:5f:c7 on en1 ifscope [ethernet]
? (192.168.78.142) at 50:eb:71:f1:9f:4b on en1 ifscope [ethernet]
? (192.168.78.149) at 80:19:34:e9:65:6a on en1 ifscope [ethernet]
? (192.168.78.176) at 7c:76:35:b0:27:8c on en1 ifscope [ethernet]
? (192.168.78.187) at a4:34:d9:8c:7c:dd on en1 ifscope [ethernet]
? (192.168.78.192) at e8:2a:ea:9d:c5:ab on en1 ifscope [ethernet]
? (192.168.78.205) at 58:91:cf:76:7c:17 on en1 ifscope [ethernet]
? (192.168.78.237) at 32:58:6:b3:a8:37 on en1 ifscope [ethernet]
? (192.168.79.15) at c8:21:58:21:41:84 on en1 ifscope [ethernet]
? (192.168.79.23) at 3e:be:36:9b:e4:79 on en1 ifscope [ethernet]
? (192.168.79.41) at 10:4a:7d:93:f5:ad on en1 ifscope [ethernet]
? (192.168.79.47) at 5c:c5:d4:69:75:6c on en1 ifscope [ethernet]
? (192.168.79.117) at 76:bc:3d:76:4b:36 on en1 ifscope [ethernet]
? (192.168.79.131) at c0:e4:34:2d:91:e3 on en1 ifscope [ethernet]
? (192.168.79.138) at a0:d3:7a:c0:97:d9 on en1 ifscope [ethernet]
? (192.168.79.226) at ce:ea:11:ee:c:bd on en1 ifscope [ethernet]
? (192.168.79.251) at f8:16:54:12:49:18 on en1 ifscope [ethernet]
mdns.mcast.net (224.0.0.251) at 1:0:5e:0:0:fb on en1 ifscope permanent [ethernet]
? (239.255.255.250) at 1:0:5e:7f:ff:fa on en1 ifscope permanent [ethernet]
